"review_category","query","preset","facets","expected_rfcs","confidence","note"
"UNCERTAIN: query does not match an expected RFC title","ipv4","red","","791","high",""
"UNCERTAIN: query does not match an expected RFC title","udp","red","","768","high",""
"UNCERTAIN: query does not match an expected RFC title","icmp","red","","792","high",""
"UNCERTAIN: query does not match an expected RFC title","arp","red","","826","high",""
"UNCERTAIN: query does not match an expected RFC title","rarp","red","","903","high",""
"UNCERTAIN: query does not match an expected RFC title","sack","red","","2018","high",""
"UNCERTAIN: query does not match an expected RFC title","tfo","red","","7413","medium",""
"UNCERTAIN: query does not match an expected RFC title","nagle algorithm","red","","896","high",""
"UNCERTAIN: query does not match an expected RFC title","igmp","red","","1112,3376","high",""
"UNCERTAIN: query does not match an expected RFC title","mptcp","red","","8684","high",""
"UNCERTAIN: query does not match an expected RFC title","PMTUD","red","","8201","medium",""
"UNCERTAIN: query does not match an expected RFC title","IPv6 anycast addresses","red","","4291","medium",""
"LOW CONFIDENCE mapping","double colon compressed zeros IPv6 address","red-content","","5952","low",""
"UNCERTAIN: query does not match an expected RFC title","hypertext transfer protocol","red","","9110","high",""
"UNCERTAIN: query does not match an expected RFC title","cookies rfc","red","","6265","high",""
"LOW CONFIDENCE mapping","client hints http","red","","8942","low",""
"LOW CONFIDENCE mapping","http upgrade header","red","","9110","low",""
"UNCERTAIN: query does not match an expected RFC title","coockies","red","","6265","medium",""
"UNCERTAIN: query does not match an expected RFC title","a cache must not store a response to a request unless","red-content","","9111","medium",""
"UNCERTAIN: query does not match an expected RFC title","hypertext transfer protocol is a stateless application-level protocol","red-content","","9110","medium",""
"UNCERTAIN: query does not match an expected RFC title","DTLS","red","","6347","high",""
"UNCERTAIN: query does not match an expected RFC title","ALPN","red","","7301","high",""
"UNCERTAIN: query does not match an expected RFC title","ocsp must staple","red","","7633","high",""
"LOW CONFIDENCE mapping","diffie hellman key exchange for tls","red","","8446","low",""
"LOW CONFIDENCE mapping","perfect forward secrecy tls","red","","8446","low",""
"LOW CONFIDENCE mapping","why is my ssl certificate expired chain of trust","red-content","","5280","low",""
"LOW CONFIDENCE mapping","head of line blocking quic","red","","9000","low",""
"LOW CONFIDENCE mapping","quic nat rebinding","red","","9000","low",""
"LOW CONFIDENCE mapping","quic amplification attack mitigation","red","","9000","low",""
"LOW CONFIDENCE mapping","quic retry packet integrity","red","","9001","low",""
"UNCERTAIN: query does not match an expected RFC title","http3","red","","9114","high",""
"UNCERTAIN: query does not match an expected RFC title","htttp3","red","","9114","medium","misspelling"
"LOW CONFIDENCE mapping","quic load balancers","red","","9312","low",""
"LOW CONFIDENCE mapping","quic-lb","red","","9312","low",""
"UNCERTAIN: query does not match an expected RFC title","SMTP","red","","5321","high",""
"UNCERTAIN: query does not match an expected RFC title","IMAP4","red","","9051","high",""
"UNCERTAIN: query does not match an expected RFC title","IMAP4rev1","red","","3501","high",""
"UNCERTAIN: query does not match an expected RFC title","IMAP4rev2","red","","9051","high",""
"UNCERTAIN: query does not match an expected RFC title","POP3","red","","1939","high",""
"UNCERTAIN: query does not match an expected RFC title","POP3","red","status.name=Internet Standard","1939","high",""
"UNCERTAIN: query does not match an expected RFC title","managesieve","red","","5804","high",""
"UNCERTAIN: query does not match an expected RFC title","LMTP","red","","2033","high",""
"UNCERTAIN: query does not match an expected RFC title","SMTPUTF8","red","","6531","high",""
"LOW CONFIDENCE mapping","internationalized mailbox names","red","","6530","low",""
"LOW CONFIDENCE mapping","dmarc mailing list interoperability problem","red","","7960","low",""
"LOW CONFIDENCE mapping","mailing list breaks dmarc","red","","7960","low",""
"LOW CONFIDENCE mapping","author domain signing practices adsp","red","","5617","low",""
"LOW CONFIDENCE mapping","iprev reverse dns email authentication","red","","8601","low",""
"UNCERTAIN: query does not match an expected RFC title","starttls enforcement policy email","red","","8461","medium",""
"LOW CONFIDENCE mapping","purported responsible address","red","","4407","low",""
"LOW CONFIDENCE mapping","vouch by reference email","red","","5518","low",""
"UNCERTAIN: query does not match an expected RFC title","edns0","red","group.acronym=dnsext","6891","high",""
"UNCERTAIN: query does not match an expected RFC title","ixfr","red","","1995","high",""
"UNCERTAIN: query does not match an expected RFC title","dnssec","red","","4033,4034,4035","high",""
"UNCERTAIN: query does not match an expected RFC title","nsec3","red","","5155","high",""
"LOW CONFIDENCE mapping","belt and suspenders dns zone","red-content","","1912","low",""
"UNCERTAIN: query does not match an expected RFC title","DNSKEY record","red","","4034","high",""
"UNCERTAIN: query does not match an expected RFC title","RRSIG record","red","","4034","high",""
"UNCERTAIN: query does not match an expected RFC title","DS record","red","","4034","high",""
"UNCERTAIN: query does not match an expected RFC title","delegation signer record","red","","4034","high",""
"UNCERTAIN: query does not match an expected RFC title","NSEC record","red","","4034","high",""
"UNCERTAIN: query does not match an expected RFC title","NSEC3","red","status.name=Proposed Standard","5155","high",""
"UNCERTAIN: query does not match an expected RFC title","NSEC3 opt-out","red","","5155","high",""
"UNCERTAIN: query does not match an expected RFC title","DoQ","red","","9250","high",""
"UNCERTAIN: query does not match an expected RFC title","qname minimization","red","","9156","high",""
"UNCERTAIN: query does not match an expected RFC title","CDS CDNSKEY","red","group.acronym=dnsop","7344","high",""
"UNCERTAIN: query does not match an expected RFC title","dnssec misspelled DNSEC","red","","4033","medium",""
"UNCERTAIN: query does not match an expected RFC title","open shortest path first","red","","2328","high",""
"UNCERTAIN: query does not match an expected RFC title","ospfv3","red","","5340","high",""
"UNCERTAIN: query does not match an expected RFC title","is-is protocol","red","","1195","high",""
"UNCERTAIN: query does not match an expected RFC title","ripv2","red","","2453","high",""
"UNCERTAIN: query does not match an expected RFC title","routing information protocol","red","","2453","high",""
"UNCERTAIN: query does not match an expected RFC title","label distribution protocol","red","group.acronym=mpls","5036","high",""
"LOW CONFIDENCE mapping","ospf hmac-sha authentication","red","","5709","low",""
